id,title,description,availability,condition,price,link,image_link,brand,item_group_id,address,availability_circle_origin,availability_circle_radius,availability_postal_codes
20,"Jugo natural en leche","Fruta natural con leche.",in stock,new,7000 COP,"https://tradicional-coffee.shop/menu#prod-20","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
21,"Chocolate en agua","Chocolate tradicional.",in stock,new,3000 COP,"https://tradicional-coffee.shop/menu#prod-21","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
22,"Chocolate en leche","Chocolate cremoso.",in stock,new,4000 COP,"https://tradicional-coffee.shop/menu#prod-22","https://tradicional-coffee.shop/images/chocolate.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
23,"Chocolate marsmello","Chocolate caliente con malvaviscos.",in stock,new,6000 COP,"https://tradicional-coffee.shop/menu#prod-23","https://tradicional-coffee.shop/images/chocolatemars.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
24,"Colada (Cereza, Vainilla, Milo o Café)","Elige tu sabor favorito.",in stock,new,6000 COP,"https://tradicional-coffee.shop/menu#prod-24","https://tradicional-coffee.shop/images/colada.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
25,"Milo frío","Bebida achocolatada fría.",in stock,new,8000 COP,"https://tradicional-coffee.shop/menu#prod-25","https://tradicional-coffee.shop/images/milo-frio.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
26,"Milo caliente","Milo reconfortante.",in stock,new,5000 COP,"https://tradicional-coffee.shop/menu#prod-26","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
27,"Milo marsmellos","Milo con malvaviscos.",in stock,new,7000 COP,"https://tradicional-coffee.shop/menu#prod-27","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","hot","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
28,"Frappe de Milo","Lo mejor del Milo, cremosidad y sabor unico.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-milo.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
29,"Frappe de Café","Clásico sabor a café helado.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-cafe.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
30,"Frappe de Nutella","Para los amantes del chocolate y avellana.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-nutella.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
31,"Frappe de Mocca","Mezcla de café y chocolate.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-moca.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
32,"Frappe de Coco Limón","Refrescante y tropical.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-coco-limon.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
40,"Frappe de Oreo","Delicioso frappé con galletas Oreo y crema chantilly.",in stock,new,12000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-oreo.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
33,"Frappe Té Chai","Preparacion americana unica con canela y especies aromáticas.",in stock,new,15000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappe-te-chai.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
41,"Frappuccino","El sabor del frappé de café, con crema de whisky logrando un sabor unico.",in stock,new,15000 COP,"https://tradicional-coffee.shop/order","https://tradicional-coffee.shop/images/frappucchino.webp","Tradicional Coffee","frappe","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
34,"Limonada de Coco","Cremosa y refrescante.",in stock,new,9000 COP,"https://tradicional-coffee.shop/menu#prod-34","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
35,"Limonada Cerezada","Refrescante sabor a cereza.",in stock,new,10000 COP,"https://tradicional-coffee.shop/menu#prod-35","https://tradicional-coffee.shop/images/limonada-cereza.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
36,"Tamarindo / Michelada","Jugo de tamarindo solo o michelado.",in stock,new,40006000 COP,"https://tradicional-coffee.shop/menu#prod-36","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
37,"Cervezas (Corona, Club, Águila, Poker)","Variedad de cervezas nacionales e internacionales.",in stock,new,40007000 COP,"https://tradicional-coffee.shop/menu#prod-37","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","cold","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
38,"Torta","Porción de torta del día.",in stock,new,4000 COP,"https://tradicional-coffee.shop/menu#prod-38","https://tradicional-coffee.shop/images/torta.webp","Tradicional Coffee","dessert","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
39,"Cuaresmeros","Tradición local.",in stock,new,1200 COP,"https://tradicional-coffee.shop/menu#prod-39","https://tradicional-coffee.shop/images/logo.webp","Tradicional Coffee","dessert","Cra. 7 #7-40, Roldanillo, Valle del Cauca, Colombia","4.4110,-76.1542","10 km","761520"
